# x 	 f(x) 
-7.350 	 2.701 
-7.340 	 2.694 
-7.330 	 2.686 
-7.320 	 2.679 
-7.310 	 2.672 
-7.300 	 2.665 
-7.290 	 2.657 
-7.280 	 2.650 
-7.270 	 2.643 
-7.260 	 2.635 
-7.250 	 2.628 
-7.240 	 2.621 
-7.230 	 2.614 
-7.220 	 2.606 
-7.210 	 2.599 
-7.200 	 2.592 
-7.190 	 2.585 
-7.180 	 2.578 
-7.170 	 2.570 
-7.160 	 2.563 
-7.150 	 2.556 
-7.140 	 2.549 
-7.130 	 2.542 
-7.120 	 2.535 
-7.110 	 2.528 
-7.100 	 2.521 
-7.090 	 2.513 
-7.080 	 2.506 
-7.070 	 2.499 
-7.060 	 2.492 
-7.050 	 2.485 
-7.040 	 2.478 
-7.030 	 2.471 
-7.020 	 2.464 
-7.010 	 2.457 
-7.000 	 2.450 
-6.990 	 2.443 
-6.980 	 2.436 
-6.970 	 2.429 
-6.960 	 2.422 
-6.950 	 2.415 
-6.940 	 2.408 
-6.930 	 2.401 
-6.920 	 2.394 
-6.910 	 2.387 
-6.900 	 2.381 
-6.890 	 2.374 
-6.880 	 2.367 
-6.870 	 2.360 
-6.860 	 2.353 
-6.850 	 2.346 
-6.840 	 2.339 
-6.830 	 2.332 
-6.820 	 2.326 
-6.810 	 2.319 
-6.800 	 2.312 
-6.790 	 2.305 
-6.780 	 2.298 
-6.770 	 2.292 
-6.760 	 2.285 
-6.750 	 2.278 
-6.740 	 2.271 
-6.730 	 2.265 
-6.720 	 2.258 
-6.710 	 2.251 
-6.700 	 2.245 
-6.690 	 2.238 
-6.680 	 2.231 
-6.670 	 2.224 
-6.660 	 2.218 
-6.650 	 2.211 
-6.640 	 2.204 
-6.630 	 2.198 
-6.620 	 2.191 
-6.610 	 2.185 
-6.600 	 2.178 
-6.590 	 2.171 
-6.580 	 2.165 
-6.570 	 2.158 
-6.560 	 2.152 
-6.550 	 2.145 
-6.540 	 2.139 
-6.530 	 2.132 
-6.520 	 2.126 
-6.510 	 2.119 
-6.500 	 2.113 
-6.490 	 2.106 
-6.480 	 2.100 
-6.470 	 2.093 
-6.460 	 2.087 
-6.450 	 2.080 
-6.440 	 2.074 
-6.430 	 2.067 
-6.420 	 2.061 
-6.410 	 2.054 
-6.400 	 2.048 
-6.390 	 2.042 
-6.380 	 2.035 
-6.370 	 2.029 
-6.360 	 2.022 
-6.350 	 2.016 
-6.340 	 2.010 
-6.330 	 2.003 
-6.320 	 1.997 
-6.310 	 1.991 
-6.300 	 1.985 
-6.290 	 1.978 
-6.280 	 1.972 
-6.270 	 1.966 
